oci_lb_certificate.json,OCI360_LB_CERTIFICATES,Certificates
oci_lb_health-checker.json,OCI360_LB_HEALTHCHECKS,Health Checks
oci_lb_hostname.json,OCI360_LB_HOSTNAMES,Hostnames
oci_lb_load-balancer-health.json,OCI360_LB_LOADBALANCERS_HEALTH,Load Balancers Health
oci_lb_load-balancer.json,OCI360_LB_LOADBALANCERS,Load Balancers
oci_lb_path-route-set.json,OCI360_LB_PATHROUTES,Path Routes
oci_lb_policy.json,OCI360_LB_POLICIES,Policies
oci_lb_protocol.json,OCI360_LB_PROTOCOLS,Protocols
oci_lb_shape.json,OCI360_LB_SHAPES,Shapes
oci_lb_work-request.json,OCI360_LB_WORKREQS,Work Requests
oci_network_cpe.json,OCI360_CPE,CPEs
oci_network_cross-connect-group.json,OCI360_CROSSCONN_GRP,Cross-connection Groups
oci_network_cross-connect-location.json,OCI360_CROSSCONN_LOC,Cross-connection Locations
oci_network_cross-connect-port-speed-shape.json,OCI360_CROSSCONN_PORT,Cross-connection Ports
oci_network_cross-connect-status.json,OCI360_CROSSCONN_STATUS,Cross-connection Status
oci_network_cross-connect.json,OCI360_CROSSCONN,Cross-connections
oci_network_dhcp-options.json,OCI360_DHCP_OPTIONS,DHCP Options
oci_network_drg-attachment.json,OCI360_DRG_ATTACHS,DRG Attachments
oci_network_drg.json,OCI360_DRGS,DRGs
oci_network_fast-connect-provider-service.json,OCI360_FC_PROV_SRVCS,Fast-Connect Service
oci_network_internet-gateway.json,OCI360_INTERNET_GW,Internet Gateway
oci_network_ip-sec-connection.json,OCI360_IPSEC_CONNS,IPSec Connections
oci_network_local-peering-gateway.json,OCI360_LOCAL_PEERING,Local Peering
oci_network_nat-gateway.json,OCI360_NAT_GATEWAYS,Nat Gateways
oci_network_private-ip.json,OCI360_PRIVATEIPS,Private IPs
oci_network_public-ip.json,OCI360_PUBLICIPS,Public IPs
oci_network_remote-peering-connection.json,OCI360_REMOTE_PEERING,Remote Peering
oci_network_route-table.json,OCI360_ROUTE_TABLES,Route Tables
oci_network_security-list.json,OCI360_SECLISTS,Security Lists
oci_network_service-gateway.json,OCI360_NETSERVICE_GW,Network Service Gateways
oci_network_service.json,OCI360_NETSERVICES,Network Services
oci_network_subnet.json,OCI360_SUBNETS,Subnets
oci_network_vcn.json,OCI360_VCNS,VCNs
oci_network_virtual-circuit-public-prefix.json,OCI360_VIRT_CIRC_PUBPREF,Virtual Circuits Pub-Prefix
oci_network_virtual-circuit.json,OCI360_VIRT_CIRC,Virtual Circuits
oci_network_vnic.json,OCI360_VNICS,VNICs
oci_os_bucket_details.json,OCI360_BUCKETS,Buckets
oci_os_multipart.json,OCI360_MULTIPARTS,Multiparts
oci_os_ns-metadata.json,OCI360_NAMESERVER_META,Nameserver Metadata
oci_os_ns.json,OCI360_NAMESERVER,Nameserver
oci_os_object-lifecycle-policy.json,OCI360_OBJECT_POLICIES,Lifecycle Policy Rules
oci_os_object.json,OCI360_OBJECTS,Objects
oci_os_preauth-request.json,OCI360_PREAUTH_REQUESTS,Pre-authenticated Requests
oci_os_work-request.json,OCI360_OS_WORKREQS,Work Requests
oci_search_resource-type.json,OCI360_RESTYPES,Resource-Types
