oci_network_security-list.json,$.data."egress-security-rules"."is-stateless",string,EGRESS_SECURITY_RULES$IS_STATELESS
oci_network_security-list.json,$.data."egress-security-rules".protocol,string,EGRESS_SECURITY_RULES$PROTOCOL
oci_network_security-list.json,$.data."egress-security-rules".destination,string,EGRESS_SECURITY_RULES$DESTINATION
oci_network_security-list.json,$.data."egress-security-rules"."destination-type",string,EGRESS_SECURITY_RULES$DESTINATION_TYPE
oci_network_security-list.json,$.data."egress-security-rules"."tcp-options"."destination-port-range".max,number,EGRESS_SECURITY_RULES$TCP_OPTIONS$DESTINATION_PORT_RANGE$MAX
oci_network_security-list.json,$.data."egress-security-rules"."tcp-options"."destination-port-range".min,number,EGRESS_SECURITY_RULES$TCP_OPTIONS$DESTINATION_PORT_RANGE$MIN
oci_network_security-list.json,$.data."egress-security-rules"."tcp-options"."source-port-range".max,number,EGRESS_SECURITY_RULES$TCP_OPTIONS$SOURCE_PORT_RANGE$MAX
oci_network_security-list.json,$.data."egress-security-rules"."tcp-options"."source-port-range".min,number,EGRESS_SECURITY_RULES$TCP_OPTIONS$SOURCE_PORT_RANGE$MIN
oci_network_security-list.json,$.data."egress-security-rules"."udp-options"."destination-port-range".max,number,EGRESS_SECURITY_RULES$UDP_OPTIONS$DESTINATION_PORT_RANGE$MAX
oci_network_security-list.json,$.data."egress-security-rules"."udp-options"."destination-port-range".min,number,EGRESS_SECURITY_RULES$UDP_OPTIONS$DESTINATION_PORT_RANGE$MIN
oci_network_security-list.json,$.data."egress-security-rules"."udp-options"."source-port-range".max,number,EGRESS_SECURITY_RULES$UDP_OPTIONS$SOURCE_PORT_RANGE$MAX
oci_network_security-list.json,$.data."egress-security-rules"."udp-options"."source-port-range".min,number,EGRESS_SECURITY_RULES$UDP_OPTIONS$SOURCE_PORT_RANGE$MIN
oci_network_security-list.json,$.data."egress-security-rules"."icmp-options".code,string,EGRESS_SECURITY_RULES$ICMP_OPTIONS$CODE
oci_network_security-list.json,$.data."egress-security-rules"."icmp-options".type,number,EGRESS_SECURITY_RULES$ICMP_OPTIONS$TYPE
oci_network_security-list.json,$.data."ingress-security-rules"."is-stateless",string,INGRESS_SECURITY_RULES$IS_STATELESS
oci_network_security-list.json,$.data."ingress-security-rules".protocol,string,INGRESS_SECURITY_RULES$PROTOCOL
oci_network_security-list.json,$.data."ingress-security-rules".source,string,INGRESS_SECURITY_RULES$SOURCE
oci_network_security-list.json,$.data."ingress-security-rules"."source-type",string,INGRESS_SECURITY_RULES$SOURCE_TYPE
oci_network_security-list.json,$.data."ingress-security-rules"."tcp-options"."destination-port-range".max,number,INGRESS_SECURITY_RULES$TCP_OPTIONS$DESTINATION_PORT_RANGE$MAX
oci_network_security-list.json,$.data."ingress-security-rules"."tcp-options"."destination-port-range".min,number,INGRESS_SECURITY_RULES$TCP_OPTIONS$DESTINATION_PORT_RANGE$MIN
oci_network_security-list.json,$.data."ingress-security-rules"."tcp-options"."source-port-range".max,number,INGRESS_SECURITY_RULES$TCP_OPTIONS$SOURCE_PORT_RANGE$MAX
oci_network_security-list.json,$.data."ingress-security-rules"."tcp-options"."source-port-range".min,number,INGRESS_SECURITY_RULES$TCP_OPTIONS$SOURCE_PORT_RANGE$MIN
oci_network_security-list.json,$.data."ingress-security-rules"."udp-options"."destination-port-range".max,number,INGRESS_SECURITY_RULES$UDP_OPTIONS$DESTINATION_PORT_RANGE$MAX
oci_network_security-list.json,$.data."ingress-security-rules"."udp-options"."destination-port-range".min,number,INGRESS_SECURITY_RULES$UDP_OPTIONS$DESTINATION_PORT_RANGE$MIN
oci_network_security-list.json,$.data."ingress-security-rules"."udp-options"."source-port-range".max,number,INGRESS_SECURITY_RULES$UDP_OPTIONS$SOURCE_PORT_RANGE$MAX
oci_network_security-list.json,$.data."ingress-security-rules"."udp-options"."source-port-range".min,number,INGRESS_SECURITY_RULES$UDP_OPTIONS$SOURCE_PORT_RANGE$MIN
oci_network_security-list.json,$.data."ingress-security-rules"."icmp-options".code,string,INGRESS_SECURITY_RULES$ICMP_OPTIONS$CODE
oci_network_security-list.json,$.data."ingress-security-rules"."icmp-options".type,number,INGRESS_SECURITY_RULES$ICMP_OPTIONS$TYPE
oci_bv_boot-volume-backup.json,$.data."boot-volume-id",string,BOOT_VOLUME_ID
oci_bv_boot-volume-backup.json,$.data."compartment-id",string,COMPARTMENT_ID
oci_bv_boot-volume-backup.json,$.data."display-name",string,DISPLAY_NAME
oci_bv_boot-volume-backup.json,$.data."expiration-time",string,EXPIRATION_TIME
oci_bv_boot-volume-backup.json,$.data."image-id",string,IMAGE_ID
oci_bv_boot-volume-backup.json,$.data."lifecycle-state",string,LIFECYCLE_STATE
oci_bv_boot-volume-backup.json,$.data."size-in-gbs",number,SIZE_IN_GBS
oci_bv_boot-volume-backup.json,$.data."source-type",string,SOURCE_TYPE
oci_bv_boot-volume-backup.json,$.data."time-created",string,TIME_CREATED
oci_bv_boot-volume-backup.json,$.data."time-request-received",string,TIME_REQUEST_RECEIVED
oci_bv_boot-volume-backup.json,$.data."unique-size-in-gbs",number,UNIQUE_SIZE_IN_GBS
oci_bv_boot-volume-backup.json,$.data.id,string,ID
oci_bv_boot-volume-backup.json,$.data.type,string,TYPE
oci_bv_volume-backup-policy-assignment.json,$.data."asset-id",string,ASSET_ID
oci_bv_volume-backup-policy-assignment.json,$.data."policy-id",string,POLICY_ID
oci_bv_volume-backup-policy-assignment.json,$.data."time-created",string,TIME_CREATED
oci_bv_volume-backup-policy-assignment.json,$.data.id,string,ID
